01:02:40:190 [ALWAYS]	GUDE Logging Started
01:02:40:191 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:02:40:191 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:02:40:191 [ERROR]	Initialize resume cache pointer failure
01:02:40:191 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
01:02:40:192 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
01:02:44:449 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
01:02:44:450 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:02:44:450 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:02:44:450 [ERROR]	Initialize resume cache pointer failure
01:02:44:450 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
01:02:44:450 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
